PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT,,,,,,,,
TT_TU_MN009,662,201701050500.00,-1.9,,,,,,,,
TT_TU_MN009,662,201701050600.00,-2.2,,,,,,,,
TT_TU_MN009,662,201701050700.00,-2.4,,,,,,,,
TT_TU_MN009,662,201701050800.00,-2.5,,,,,,,,
TT_TU_MN009,662,201701050900.00,-2.4,,,,,,,,
TT_TU_MN009,662,201701051000.00,-1.9,,,,,,,,
TT_TU_MN009,662,201701051100.00,-2.1,,,,,,,,
TT_TU_MN009,662,201701051200.00,-1.8,,,,,,,,
TT_TU_MN009,662,201701051300.00,-1.9,,,,,,,,
TT_TU_MN009,662,201701051400.00,-1.8,,,,,,,,
TT_TU_MN009,662,201701051500.00,-2.5,,,,,,,,
TT_TU_MN009,662,201701051600.00,-3.1,,,,,,,,
TT_TU_MN009,662,201701051700.00,-3.4,,,,,,,,
TT_TU_MN009,662,201701051800.00,-5.1,,,,,,,,
TT_TU_MN009,662,201701051900.00,-4.3,,,,,,,,
TT_TU_MN009,662,201701052000.00,-5.2,,,,,,,,
TT_TU_MN009,662,201701052100.00,-6.1,,,,,,,,
TT_TU_MN009,662,201701052200.00,-6.7,,,,,,,,
TT_TU_MN009,662,201701052300.00,-6.7,,,,,,,,
TT_TU_MN009,662,201701060000.00,-7.8,,,,,,,,
TT_TU_MN009,662,201701060100.00,-7.9,,,,,,,,
TT_TU_MN009,662,201701060200.00,-8.1,,,,,,,,
TT_TU_MN009,662,201701060300.00,-8.5,,,,,,,,
TT_TU_MN009,662,201701060400.00,-8.5,,,,,,,,
TT_TU_MN009,662,201701060500.00,-8.6,,,,,,,,
TT_TU_MN009,662,201701060600.00,-9.6,,,,,,,,
TT_TU_MN009,662,201701060700.00,-9.9,,,,,,,,
TT_TU_MN009,662,201701060800.00,-9.6,,,,,,,,
TT_TU_MN009,662,201701060900.00,-8.2,,,,,,,,
TT_TU_MN009,662,201701061000.00,-5.7,,,,,,,,
TT_TU_MN009,662,201701061100.00,-5.3,,,,,,,,
TT_TU_MN009,662,201701061200.00,-4.8,,,,,,,,
TT_TU_MN009,662,201701061300.00,-4,,,,,,,,
TT_TU_MN009,662,201701061400.00,-4.6,,,,,,,,
TT_TU_MN009,662,201701061500.00,-4.8,,,,,,,,
