PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT
TT_TU_MN009,662,2.01801E+11,6.4
TT_TU_MN009,662,2.01801E+11,6.1
TT_TU_MN009,662,2.01801E+11,6.7
TT_TU_MN009,662,2.01801E+11,7.5
TT_TU_MN009,662,2.01801E+11,7.1
TT_TU_MN009,662,2.01801E+11,6.4
TT_TU_MN009,662,2.01801E+11,5.2
TT_TU_MN009,662,2.01801E+11,5.5
TT_TU_MN009,662,2.01801E+11,4.7
TT_TU_MN009,662,2.01801E+11,4.9
TT_TU_MN009,662,2.01801E+11,4.5
TT_TU_MN009,662,2.01801E+11,5
TT_TU_MN009,662,2.01801E+11,4.7
TT_TU_MN009,662,2.01801E+11,5.1
TT_TU_MN009,662,2.01801E+11,5.9
TT_TU_MN009,662,2.01801E+11,6.5
TT_TU_MN009,662,2.01801E+11,6.7
TT_TU_MN009,662,2.01801E+11,7.1
TT_TU_MN009,662,2.01801E+11,6.6
TT_TU_MN009,662,2.01801E+11,5.9
TT_TU_MN009,662,2.01801E+11,4.6
TT_TU_MN009,662,2.01801E+11,4.3
TT_TU_MN009,662,2.01801E+11,4.2
TT_TU_MN009,662,2.01801E+11,4.2
TT_TU_MN009,662,2.01801E+11,4.6
TT_TU_MN009,662,2.01801E+11,4.3
TT_TU_MN009,662,2.01801E+11,3.5
TT_TU_MN009,662,2.01801E+11,3.4
TT_TU_MN009,662,2.01801E+11,3.3
TT_TU_MN009,662,2.01801E+11,3
TT_TU_MN009,662,2.01801E+11,2.7
TT_TU_MN009,662,2.01801E+11,2.4
TT_TU_MN009,662,2.01801E+11,1.9
TT_TU_MN009,662,2.01801E+11,1.2
TT_TU_MN009,662,2.01801E+11,0.5
TT_TU_MN009,662,2.01801E+11,0.2
TT_TU_MN009,662,2.01801E+11,0.2
TT_TU_MN009,662,2.01801E+11,0.5
TT_TU_MN009,662,2.01801E+11,0.7
TT_TU_MN009,662,2.01801E+11,1
TT_TU_MN009,662,2.01801E+11,1.4
TT_TU_MN009,662,2.01801E+11,1.6
TT_TU_MN009,662,2.01801E+11,1.3
TT_TU_MN009,662,2.01801E+11,0.9
TT_TU_MN009,662,2.01801E+11,0.4
TT_TU_MN009,662,2.01801E+11,0
TT_TU_MN009,662,2.01801E+11,-0.2
TT_TU_MN009,662,2.01801E+11,-0.7
TT_TU_MN009,662,2.01801E+11,-1
TT_TU_MN009,662,2.01801E+11,-1.4
TT_TU_MN009,662,2.01801E+11,-1.6
